turn,ts_ms,heapUsed,heapTotal,rss,external,arrayBuffers,mutableMessagesCount,mutableMessagesApproxBytes,contentReplacementSeenIds,contentReplacementReplacements,perKeyClippedIdsEntries,perKeyClippedIdsTotalIds,event
210,331.9,1213789,6695936,261406720,59507559,0,40,3652177,20,0,0,0,
211,332.7,1213789,6777856,261931008,59507559,0,44,4099000,22,0,0,0,
212,333.7,1213789,6810624,262193152,59507559,0,48,4609295,24,0,0,0,
213,334.9,1213789,6827008,262455296,59507559,0,52,5183138,26,0,0,0,
214,335.2,1213789,6892544,262455296,59507559,0,56,5408762,28,0,0,0,
215,335.7,1213789,7285760,262455296,59507559,0,60,5697860,30,0,0,0,
216,336.4,1213789,8121344,262455296,59507559,0,64,6050444,32,0,0,0,
217,337.1,1213789,8940544,262455296,59507559,0,68,6466570,34,0,0,0,
218,337.9,1213789,10005504,262455296,59507559,0,72,6946195,36,0,0,0,
219,339.0,1213789,11332608,262455296,59507559,0,76,7489299,38,0,0,0,
220,343.9,1213789,6892544,262455296,65104789,0,80,7890029,40,0,0,0,
221,344.5,1213789,6974464,262455296,65104789,0,84,8148467,42,0,0,0,
222,345.2,1213789,7007232,262455296,65104789,0,88,8470394,44,0,0,0,
223,345.8,1213789,7040000,262455296,65104789,0,92,8855793,46,0,0,0,
224,346.6,1213789,7089152,262455296,65104789,0,96,9304617,48,0,0,0,
225,347.6,1213789,7154688,262455296,65104789,0,100,9816915,50,0,0,0,
226,348.6,1213789,8301568,262455296,65104789,0,104,10392825,52,0,0,0,
227,349.0,1213789,8793088,262455296,65104789,0,108,10620521,54,0,0,0,
228,349.5,1213789,9513984,262455296,65104789,0,112,10911706,56,0,0,0,
229,350.1,1213789,10284032,262455296,65104789,0,116,11266404,58,0,0,0,
230,354.6,1213789,7072768,262455296,70131664,0,120,11684549,60,0,0,0,
231,356.3,1213789,7154688,262455296,70131664,0,124,12166190,62,0,0,0,
232,357.9,1213789,7187456,262455296,70131664,0,128,12711291,64,0,0,0,
233,359.0,1213789,7220224,262455296,70131664,0,132,13114074,66,0,0,0,
234,359.9,1213789,7269376,262455296,70131664,0,136,13374595,68,0,0,0,
235,360.8,1213789,7318528,262455296,70131664,0,140,13698566,70,0,0,0,
236,361.5,1213789,8006656,262455296,70131664,0,144,14085986,72,0,0,0,
237,362.4,1213789,9055232,262455296,70131664,0,148,14536888,74,0,0,0,
238,363.2,1213789,10087424,262455296,70131664,0,152,15051288,76,0,0,0,
239,364.5,1213789,11381760,260521984,70131664,0,156,15629149,78,0,0,0,
240,368.7,1213789,7203840,261177344,75574320,0,160,15858864,80,0,0,0,
241,369.2,1213789,7302144,261177344,75574320,0,164,16152090,82,0,0,0,
242,369.9,1213789,7334912,261308416,75574320,0,168,16508831,84,0,0,0,
243,370.7,1213789,7367680,261308416,75574320,0,172,16929076,86,0,0,0,
244,371.5,1213789,7400448,261439488,75574320,0,176,17412749,88,0,0,0,
245,372.7,1213789,7465984,261963776,75574320,0,180,17959885,90,0,0,0,
246,373.7,1213789,8367104,262619136,75574320,0,184,18364685,92,0,0,0,
247,374.1,1213789,8891392,262619136,75574320,0,188,18627218,94,0,0,0,
248,374.7,1213789,9612288,262619136,75574320,0,192,18953216,96,0,0,0,
249,375.5,1213789,10611712,262619136,75574320,0,196,19342652,98,0,0,0,
250,380.0,1213789,7384064,262619136,80821299,0,200,19795625,100,0,0,0,
251,381.7,1213789,7482368,263143424,80821299,0,204,20312082,102,0,0,0,
252,383.9,1213789,7515136,263798784,80821299,0,208,20892041,104,0,0,0,
253,384.5,1213789,7547904,263798784,80821299,0,212,21123842,106,0,0,0,
254,385.4,1213789,7580672,263798784,80821299,0,216,21419112,108,0,0,0,
255,386.6,1213789,7646208,263798784,80821299,0,220,21777884,110,0,0,0,
256,387.7,1213789,8170496,263798784,80821299,0,224,22200129,112,0,0,0,
257,388.7,1213789,9219072,264192000,80821299,0,228,22685876,114,0,0,0,
258,390.0,1213789,10497024,264847360,80821299,0,232,23235096,116,0,0,0,
259,390.7,1213789,11430912,264847360,80821299,0,236,23642017,118,0,0,0,
260,394.7,1213789,7580672,264847360,86450477,0,240,23906608,120,0,0,0,
261,395.4,1213789,7711744,264847360,86450477,0,244,24234641,122,0,0,0,
262,396.0,1213789,7744512,264847360,86450477,0,248,24626151,124,0,0,0,
263,396.9,1213789,7760896,265371648,86450477,0,252,25081137,126,0,0,0,
264,398.1,1213789,7793664,265764864,86450477,0,256,25599633,128,0,0,0,
265,399.1,1213789,7859200,265895936,86450477,0,260,26181659,130,0,0,0,
266,399.5,1213789,8350720,265895936,86450477,0,264,26415525,132,0,0,0,
267,400.1,1213789,9055232,265895936,86450477,0,268,26712901,134,0,0,0,
268,400.7,1213789,9776128,265895936,86450477,0,272,27073708,136,0,0,0,
269,401.6,1213789,10775552,266289152,86450477,0,276,27498015,138,0,0,0,
270,406.7,1213789,7760896,266813440,91877769,0,280,27985769,140,0,0,0,
271,408.0,1213789,7875584,266813440,91877769,0,284,28536987,142,0,0,0,
272,408.7,1213789,7908352,266813440,91877769,0,288,28945865,144,0,0,0,
273,409.2,1213789,7924736,266813440,91877769,0,292,29212435,146,0,0,0,
274,409.8,1213789,7957504,266813440,91877769,0,296,29542510,148,0,0,0,
275,410.6,1213789,8023040,267206656,91877769,0,300,29936092,150,0,0,0,
276,411.7,1213789,8072192,267599872,91877769,0,304,30393182,152,0,0,0,
277,412.6,1213789,9071616,267599872,91877769,0,308,30913774,154,0,0,0,
278,413.8,1213789,10316800,268255232,91877769,0,312,31497797,156,0,0,0,
279,414.3,1213789,10972160,268255232,91877769,0,316,31733710,158,0,0,0,
280,418.2,1213789,7908352,268255232,96980341,0,320,32033085,160,0,0,0,
281,418.9,1213789,8023040,268255232,96980341,0,324,32395988,162,0,0,0,
282,419.9,1213789,8055808,268648448,96980341,0,328,32822272,164,0,0,0,
